targetKey,priority,upgradeTier,mechanism,estimand,requiredEvidence,candidateSources,currentSupport,status,permittedUse,clearanceCriterion,nextAction,firstStudyDesign,minimumDataProduct,manuscriptImpact,policyClaimStatus,blocksPolicySimulation
hidden-donor-routing-magnitude,P1,second-wave,"Hidden donor routing through nonprofits, associations, and adjacent outside-spending vehicles","Share and concentration of concealed or indirectly traceable donor-linked money that reaches electoral, lobbying, or public-information channels","Representative routing network with source, recipient, timing, transfer amount, political use, and donor-identity or beneficial-owner linkage where legally observable","IRS Form 990 XML Schedule I/R; IRS 8871/8872; OpenFEC Schedule E, electioneering, and communication-cost rows; state campaign-finance exports; curated investigative or beneficial-owner datasets","Bounded top-EIN Schedule I transfer rows, OpenFEC outside-spending rows, and opaque-capacity proxies",bounded_proxy_only,Bounded routing and missingness diagnostics,Representative routing rows spanning multiple organization classes with donor-linkage metadata or an explicit defensible missingness model,Broaden nonprofit-routing rows beyond the top-EIN slice and add donor-linkage or beneficial-owner coverage where public sources permit.,"Construct a multi-class nonprofit and 527 routing panel, then estimate missingness and transfer concentration rather than treating capacity proxies as hidden spending.","Form 990 Schedule I/R or equivalent transfer rows for more than the top-EIN slice, IRS 8871/8872 rows beyond the bounded alphabetic slice, and linkage flags separating observed transfers from donor-identity gaps.",Would strengthen hidden-channel magnitude bounds; it still would not by itself estimate reform effects without a design that links routing changes to a reform shock.,not_cleared,yes
substitution-elasticity,P1,first-wave,"Strategic movement from restricted visible channels into hidden, intermediary, venue, or technical channels","Change in alternate-channel spending, contact, or influence pressure after a disclosure, finance, access, or cooling-off reform binds",Before/after or cross-jurisdiction design linking reform timing to channel-specific activity by common actors and issues,State lobbying and campaign-finance reforms; municipal disclosure changes; LDA filings; OpenFEC spending; docket comment records; meeting logs; procurement action records,"Synthetic mechanism comparison, sensitivity sweeps, and source moments for individual channels",open_design_needed,Mechanism stress tests and qualitative substitution warnings,At least one external quasi-experimental or panel design that estimates cross-channel substitution direction for a named reform family,"Build a cross-source event panel around one reform shock and track visible, intermediary, dark-money, comment, and procurement channels by actor and issue.","Use a named disclosure, access, finance, or cooling-off reform shock and compare pre/post channel activity for matched actors and issues against unaffected actors or jurisdictions.","Actor-issue-time panel linking at least three channels, such as LDA clients, OpenFEC spenders, docket submitters, procurement vendors, meeting-log participants, or nonprofit intermediaries.",Would directly test the paper's central substitution mechanism and could upgrade the article from a pure mechanism demonstration toward a source-anchored substitution diagnostic.,not_cleared,yes
procurement-modification-causal-capture,P1,first-wave,"Post-award specification changes, modifications, protests, exclusions, and firewall leakage","Effect of lobbying/vendor-network exposure on post-award modification, protest, exclusion, single-bid, or firewall outcomes conditional on agency, award type, and contract size","SAM/FPDS-style action history with PIID/UEI, modification coding, action dates, competition, offer counts, exclusions, protests, firewall indicators, and linked lobbying/vendor exposure",SAM.gov Contract Awards; FPDS/USAspending transaction history; GAO bid protests; SAM exclusions; agency procurement-integrity/firewall records; LDA client and issue records,"USAspending bulk denominator crosswalk, action-row diagnostics, distinct-award diagnostics, amount-weighted diagnostics, and optional SAM importer",denominator_mapped_not_causal,Denominator-mapped procurement diagnostics,A reconciled SAM/FPDS action-history panel linked to exposure variables and at least one causal or matched comparison design,"Crosswalk USAspending and SAM/FPDS modification codes, then add protest, exclusion, offer-count, and firewall overlays.","Create a matched award/action panel comparing exposed vendors or issue areas with otherwise similar awards, controlling for agency, award type, size, timing, and competition fields.","PIID/UEI action-history rows with modification coding, offer counts, competition flags, protest/exclusion overlays, and a documented crosswalk between USAspending and SAM/FPDS action definitions.",Would turn the procurement bridge from denominator-mapped diagnostics into the most concrete empirical domain for testing capture-adjacent outcomes.,not_cleared,yes
revolving-door-access-effect,P1,second-wave,"Former-official access, advisory influence, and cooling-off evasion","Effect of covered-position or post-employment movement on access, venue choice, enforcement forbearance, or rule/procurement outcomes","Person-level movement, employer/client linkage, covered-position metadata, cooling-off dates, contact or venue records, and outcome timing",OGE disclosures; LDA covered-position fields; LegiStorm/OpenSecrets career histories; FACA rosters; witness records; calendars and meeting logs where available,LDA-derived covered-position rows and revolving-door proxy diagnostics,bounded_proxy_only,Proxy-backed cooling-off and bridge diagnostics,"Documented personnel-movement panel with timing and outcome linkage, not only covered-position indicators","Add OGE, FACA, witness, or personnel-movement exports and preserve person-entity identifiers for linkage.","Link person-level movement into regulated entities, advisory committees, witnesses, or lobbying roles to later access, venue choice, enforcement, rulemaking, or procurement outcomes.","Person-entity-time records with covered-position metadata, movement dates, employer/client linkage, access or venue events, and outcome timing.",Would replace LDA covered-position proxies with a documented access bridge and reduce reviewer concern that revolving-door mechanisms are only synthetic.,not_cleared,yes
public-financing-countervailing-effect,P2,second-wave,"Public financing, matching funds, and democracy vouchers as countervailing participation","Effect of public financing participation on donor concentration, candidate dependence, spending mix, and modeled capture pressure","Candidate-level public-financing participation, public-fund amounts, private donor mix, spending, and comparable non-participant races",NYC CFB; Seattle Democracy Voucher data; state and municipal public-financing programs; OpenFEC candidate finance and election results,NYC matching-fund rows and Seattle voucher rows,local_program_panel_only,Bounded countervailing-finance anchors,Multi-program candidate-level panel with participant/non-participant comparison and donor-mix outcomes,Add state and local public-financing panels and link them to candidate finance and election context.,"Compare participant and non-participant candidates across multiple public-financing programs with race, office, and election-cycle controls.","Candidate-level public-funds participation, public payment or voucher totals, private donor mix, spending, office, election cycle, and comparable non-participant rows.",Would strengthen countervailing-participation assumptions and clarify whether the public-financing mechanism is locally bounded or broader.,not_cleared,yes
comment-authenticity-and-uptake-effect,P2,first-wave,"Comment flooding, authenticity rules, technical submissions, and substantive uptake","Effect of duplicate compression or authenticity screening on unique information, review burden, substantive uptake, and final rule movement","Docket-level comments with duplicate/template clusters, submitter authenticity indicators, technical-content classification, agency response or final-rule linkage",Regulations.gov; Federal Register; agency docket files; ACUS/agency mass-comment reports; FTC/FCC/EPA docket-specific corpora,"Regulations.gov/Federal Register schema rows, comment-volume concentration, and synthetic comment-triage diagnostics",bounded_source_moments,Comment-record and mechanism diagnostics,Docket-level panel with observed duplicate clusters and agency response/final-rule linkage,Add docket corpora with duplicate/template detection and link comments to agency response text or final-rule changes.,"Build docket-level before/after or treated/untreated comparisons around duplicate compression, authentication rules, or high-template comment campaigns, then link unique information to agency response text.","Comment corpus with duplicate/template clusters, submitter or authenticity fields where available, technical-content labels, agency response text, final-rule linkage, and docket timing.",Would provide a concrete rulemaking domain for information-distortion and comment-flooding mechanisms using public records rather than only synthetic diagnostics.,not_cleared,yes
enforcement-deterrence-effect,P2,second-wave,"Audits, sanctions, disclosure-error detection, and regulatory enforcement capacity","Effect of audit probability, detection delay, sanction severity, or enforcement backlog on visible and hidden influence behavior","Enforcement actions, audit/referral queues, penalties, delays, respondent links, and pre/post behavior by regulated or political actors",FEC enforcement and audit data; OCE/ethics records; DOJ/FARA enforcement; agency enforcement databases; inspector-general reports,Reporting-error detection and campaign-sanction incidence benchmarks plus model enforcement diagnostics,bounded_source_moments,Disclosure/audit plausibility checks,"Linked enforcement-outcome panel with actor-level behavior before and after audits, referrals, or sanctions","Add enforcement-event rows with actor identifiers, delay, penalty, and follow-on behavior measures.","Track actor behavior before and after audits, referrals, sanctions, or enforcement delays and compare with similar actors not facing enforcement events.","Enforcement-event rows with actor identifiers, alleged violation or referral type, dates, delay, penalty, and follow-on lobbying, spending, disclosure, or procurement behavior.","Would strengthen enforcement-capacity and deterrence assumptions, especially where current model behavior depends on audit probability and sanction severity.",not_cleared,yes
meeting-disclosure-and-access-effect,P2,second-wave,"Real-time disclosure, machine-readable meeting logs, and access opacity","Effect of meeting-log completeness and timeliness on access concentration, network opacity, and subsequent channel substitution","Machine-readable meeting/contact logs with actor identifiers, issue tags, timing, completeness metadata, and policy or procurement outcomes",Agency meeting logs; EU/UK/transparency registers for comparative panels; state or municipal contact registers; White House/agency visitor logs where available,Synthetic network opacity and legibility diagnostics; no committed representative meeting-log panel,open_source_panel_needed,Synthetic opacity and legibility diagnostics,"Observed meeting-log panel linked to actor networks and outcomes, with missingness or completeness diagnostics","Add one machine-readable meeting-log panel and preserve actor, issue, date, and outcome linkage fields.","Use one jurisdiction or agency with machine-readable meeting logs to test whether meeting disclosure changes access concentration, network opacity, or follow-on channel movement.","Meeting or contact rows with actor names, issue tags, dates, agency/office, completeness metadata, and linkage to lobbying, docket, procurement, or enforcement records.",Would give the cross-venue detection and access-opacity mechanisms an observed network surface rather than only synthetic legibility diagnostics.,not_cleared,yes
intermediary-network-effect,P2,second-wave,"Associations, think tanks, sponsored experts, 527s, and nonprofit intermediaries","Effect of intermediary centrality or sponsored-messenger routing on policy, comment, campaign, or procurement outcomes","Intermediary membership, grants, transfers, filings, public submissions, campaign activity, and actor-outcome linkage",IRS Form 990 XML; Schedule I/R; IRS 527 filings; NYC CFB intermediaries; think-tank grant disclosures; docket submitter records,"NYC intermediary rows, IRS EO BMF capacity proxies, bounded IRS 527 rows, and top-EIN Schedule I rows",bounded_proxy_only,Intermediary capacity and routing diagnostics,"Representative intermediary network with routing, issue, and outcome linkage rather than capacity proxies alone","Broaden Form 990 XML and 527 coverage, separate capacity from transfer routing, and link intermediaries to submissions or spending.","Build an intermediary routing graph from transfers, filings, public submissions, and campaign activity, then test whether centrality predicts channel substitution or outcome pressure.","Intermediary-actor-transfer rows, 527 filings, Form 990 Schedule I/R rows, docket or campaign links, issue tags, and a separated capacity-versus-routing classification.","Would make the think-tank, association, and sponsored-messenger mechanisms more concrete and reduce reliance on capacity proxies.",not_cleared,yes
venue-shifting-detection-effect,P2,first-wave,"Cross-venue detection for movement among rulemaking, procurement, litigation, campaign, and lobbying arenas",Effect of cross-venue entity resolution and disclosure matching on detected substitution and total influence distortion,"Shared actor identifiers across lobbying, campaign, docket, procurement, litigation, enforcement, and meeting-log records with issue and time windows",LDA; OpenFEC; Regulations.gov; Federal Register; USAspending/SAM; court/protest dockets; enforcement databases; meeting logs,Synthetic cross-venue detection index and source-specific identifiers,open_linkage_needed,Synthetic cross-venue detection diagnostics,Entity-resolution spine linking at least three venues with audited false-positive/false-negative handling,"Build an identifier spine across LDA clients, FEC committees/spenders, docket submitters, vendors, and enforcement/protest actors.",Create an auditable entity-resolution spine across three or more public venues and measure how much apparent substitution becomes visible when records are linked.,"Canonical actor identifiers linking LDA clients/registrants, FEC committees or spenders, docket submitters, vendors/UEIs, enforcement or protest actors, plus false-match audit samples.",Would strengthen the venue-shifting detection claim and provide a practical measurement artifact for the model's cross-venue governance design argument.,not_cleared,yes
