reviewId,canonicalActorId,candidateRecordId,sourceSystem,issueCode,decision,errorType,notes,reviewer,reviewDate,confidenceScore
false-match-reviewed-0001,cand-00423245e785,521399806,IRS/ProPublica dark-money bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0002,cand-00423245e785,521399806,Intermediary bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0003,cand-03b59df7486d,410659918,IRS/ProPublica dark-money bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0004,cand-03b59df7486d,410659918,Intermediary bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0005,cand-0466e4403f64,474908678,IRS/ProPublica dark-money bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0006,cand-0466e4403f64,474908678,Intermediary bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0007,cand-04d52943108f,521219782,IRS/ProPublica dark-money bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0008,cand-04d52943108f,521219782,Intermediary bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0009,cand-0654f97b5a4a,520975324,IRS/ProPublica dark-money bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0010,cand-0654f97b5a4a,520975324,Intermediary bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0011,cand-0678168fbf9b,043809491,IRS/ProPublica dark-money bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0012,cand-0678168fbf9b,043809491,Intermediary bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0013,cand-067ab1f0b704,361589720,IRS/ProPublica dark-money bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0014,cand-067ab1f0b704,361589720,Intermediary bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0015,cand-07356898065b,520230814,IRS/ProPublica dark-money bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0016,cand-07356898065b,520230814,Intermediary bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0017,cand-079e026b538d,521088411,IRS/ProPublica dark-money bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0018,cand-079e026b538d,521088411,Intermediary bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0019,cand-07ce6b3e4f19,521349816,IRS/ProPublica dark-money bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0020,cand-07ce6b3e4f19,521349816,Intermediary bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0021,cand-08cb26682005,237183380,IRS/ProPublica dark-money bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0022,cand-08cb26682005,237183380,Intermediary bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0023,cand-08d64d221941,411596217,IRS/ProPublica dark-money bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0024,cand-08d64d221941,411596217,Intermediary bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0025,cand-08d8a12e7fe4,521091972,IRS/ProPublica dark-money bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0026,cand-08d8a12e7fe4,521091972,Intermediary bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0027,cand-08f25d003690,136163824,IRS/ProPublica dark-money bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0028,cand-08f25d003690,136163824,Intermediary bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0029,cand-0920cb1e8919,521565676,IRS/ProPublica dark-money bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0030,cand-0920cb1e8919,521565676,Intermediary bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0031,cand-092f257e1894,521499360,IRS/ProPublica dark-money bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
false-match-reviewed-0032,cand-092f257e1894,521499360,Intermediary bridge,reviewed-democracy,accepted,true_positive_exact_identifier,"accepted exact-ID cross-venue evidence; not a causal panel clearance; reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass",codex-source-audit,2026-06-28,0.9500
