item,checklistItem,status,automatedEvidence,evidenceFiles,reviewAnchors,remainingHumanAction,signoffPrompt
scholarly-readthrough-checklist-01,Abstract states the mechanism-model contribution without implying calibrated policy-effect estimation.,automated_support_present,policy overclaim hits=0; abstract mechanism language=yes; abstract bounded-language signal=yes,paper/strategic-channel-substitution-regulatory-capture.tex; paper/regulation-governance-wiley.tex; reports/policy-claim-language-audit.md,manuscript abstract; Wiley abstract; reports/policy-claim-language-audit.md,"Confirm the abstract reads as a mechanism-model contribution, not a calibrated policy-effect claim.",Sign only if the abstract promises a mechanism-model contribution and does not imply calibrated real-world policy effects.
scholarly-readthrough-checklist-02,"Introduction separates model assumptions, synthetic results, and empirical bridge scope.",automated_support_present,mechanism=ready; empiricalBridge=bounded; calibratedPolicy=blocked,reports/submission-readiness.md; paper/sections/reggov-body.tex,paper/sections/reggov-body.tex introduction paragraphs; reports/submission-readiness.md Gate Summary,"Read the introduction for rhetorical separation of assumptions, synthetic findings, and empirical bridge limits.","Sign only if assumptions, synthetic results, and bounded empirical bridge evidence are rhetorically distinct."
scholarly-readthrough-checklist-03,"Literature positioning explains the regulatory-governance contribution relative to lobbying, capture, venue-shifting, and ABM validation work.",automated_support_present,literatureAuditReady=8; literatureAuditPartial=0; literatureAuditBlocked=0,reports/literature-positioning-audit.md; paper/sections/reggov-body.tex; paper/references.bib,paper/sections/reggov-body.tex literature-positioning paragraphs; reports/literature-positioning-audit.md; paper/references.bib,Judge whether the audited literature coverage is persuasive and sufficiently developed for the target venue.,Sign only if the cited literature makes the Regulation & Governance contribution intelligible without overclaiming novelty.
scholarly-readthrough-checklist-04,"Model specification is internally consistent with the ODD-style supplement and does not leave unresolved equations, parameters, or diagnostic definitions.",automated_support_present,latexLogsPass=yes; missingSpecArtifacts=none,docs/odd-model.md; paper/tables/composite_weights.tex; paper/tables/switch_rule_snapshot.tex; reports/latex-log-audit.md,docs/odd-model.md schedule/state sections; paper/tables/composite_weights.tex; paper/tables/switch_rule_snapshot.tex,Compare the main-text model description against the ODD supplement and generated diagnostic tables.,"Sign only if the main text, ODD supplement, equations, parameters, and generated diagnostic tables describe the same model."
scholarly-readthrough-checklist-05,Results describe synthetic mechanism behavior and do not present reform rankings as real-world policy estimates.,automated_support_present,policy overclaim hits=0; calibratedPolicyGate=not_cleared,reports/policy-claim-language-audit.md; reports/claim-posture-audit.md; reports/substitution-audit.md,paper/sections/reggov-body.tex results sections; reports/claim-posture-audit.md; reports/substitution-audit.md,Read result prose for overinterpretation despite the mechanical language audit passing.,Sign only if the results read as synthetic mechanism behavior and portfolio diagnostics rather than policy rankings.
scholarly-readthrough-checklist-06,"Empirical bridge language is bounded to source moments, source-panel coverage, and validation-gap diagnostics.",automated_support_present,empiricalBridge=bounded; sourceLimitedPanels=7; candidateLeakageFailures=0; manualAdjudicationProducts=5,reports/claim-posture-audit.md; reports/source-panel-inventory.md; reports/source-capability-audit.md; reports/candidate-source-leakage-audit.md; reports/first-wave-manual-adjudication-plan.md; reports/procurement-causal-upgrade-packet.md; reports/substitution-causal-upgrade-packet.md; reports/comment-causal-upgrade-packet.md; reports/venue-causal-upgrade-packet.md,paper/sections/reggov-body.tex empirical bridge/limitations paragraphs; reports/source-panel-inventory.md; reports/first-wave-manual-adjudication-plan.md; reports/procurement-causal-upgrade-packet.md; reports/substitution-causal-upgrade-packet.md; reports/comment-causal-upgrade-packet.md; reports/venue-causal-upgrade-packet.md,Check that the manuscript describes the bridge as bounded source support rather than validation of hidden-channel magnitudes.,"Sign only if empirical bridge prose stays tied to source moments, gaps, candidate-review burdens, and validation diagnostics."
scholarly-readthrough-checklist-07,"Tables and figures are referenced in order, readable in the Wiley PDF, and not duplicative or misleading.",automated_support_present,layoutVisualGate=ready; latexLogsPass=yes; structureFailures=0,reports/paper-layout-audit.md; reports/paper-structure-audit.md; reports/manual-visual-audit.md; reports/latex-log-audit.md,paper/regulation-governance-wiley.pdf; paper/supplement.pdf; reports/paper-layout-audit.md; reports/paper-structure-audit.md; reports/manual-visual-audit.md,"Visually inspect the Wiley PDF one last time, especially figure placement and table readability.","Sign only after visually checking the final PDFs for table/figure readability, ordering, captions, and non-duplicative presentation."
scholarly-readthrough-checklist-08,"Limitations identify open source panels, causal-calibration targets, and construct-validity risks without self-rejecting submission language.",automated_support_present,limitationsSection=yes; openCausalTargets=10; targetLanguage=yes,paper/sections/reggov-body.tex; reports/causal-calibration-targets.md; reports/reviewer-risk-register.md,paper/sections/reggov-body.tex limitations section; reports/causal-calibration-targets.md Claim Boundary Matrix; reports/reviewer-risk-register.md,Judge whether the limitations are specific and candid without sounding like a self-rejection.,Sign only if limitations name open causal targets and source panels clearly while preserving the mechanism-review submission frame.
scholarly-readthrough-checklist-09,"Data and Code Availability names the exact release, repository, license, DOI archive if available, and excluded private/raw credentialed payloads.",external_manual_required,dataCodeGate=ready; doiRecorded=no,paper/sections/submission-declarations.tex; reports/reggov-guidelines-readiness.md; CITATION.cff; .zenodo.json,paper/sections/submission-declarations.tex Data and Code Availability; CITATION.cff; .zenodo.json,"Record the DOI once minted; before then, verify the statement keeps DOI absence explicit.",Sign only after DOI status is accurate: either a recorded DOI is present or the declaration explicitly avoids implying one.
scholarly-readthrough-checklist-10,Archive-handoff manifest checksums match the final release assets and DOI-deposit asset set.,automated_support_present,primaryAssets=5/5; releaseAssetChecksumRows=5,reports/archive-handoff-manifest.md; dist/release-asset-checksums.md,reports/archive-handoff-manifest.md Deposit Asset Set; dist/release-asset-checksums.md; dist/doi-deposit-package-manifest.md,Use the checksum files during archive deposition and record the final DOI afterward.,Sign only after checksum files and DOI-deposit package members match the final release assets being archived.
scholarly-readthrough-checklist-11,Zenodo deposit preflight and any unpublished draft metadata match the signed-off release before a DOI record is published.,external_manual_required,metadataPresent=yes; unpublishedDraft=manual_not_asserted_by_this_packet,.zenodo.json; CITATION.cff; reports/archive-handoff-manifest.md,.zenodo.json; dist/zenodo-deposit-metadata.json; reports/zenodo-deposit-preflight.md,Run Zenodo preflight/draft/upload only after a token is configured and the final release is frozen.,"Sign only after the Zenodo/OSF draft metadata has been inspected against the frozen release, or leave this external item open."
scholarly-readthrough-checklist-12,"References are complete enough for the target venue and do not contain placeholder or ""planned validation"" entries.",automated_support_present,placeholderPhrases=none; latexLogsPass=yes; referenceAuditReady=68; referenceAuditAdvisory=0; referenceAuditBlocked=0,paper/references.bib; reports/reference-integrity-audit.md; reports/latex-log-audit.md,paper/references.bib; reports/reference-integrity-audit.md; final local/Wiley LaTeX logs summarized in reports/latex-log-audit.md,Perform a human bibliography adequacy check for venue fit and scholarly completeness.,"Sign only if references are complete for the target venue and contain no placeholder, speculative, or planned-validation entries."
scholarly-readthrough-checklist-13,AI Use Disclosure and declarations match journal expectations.,automated_support_present,aiDisclosure=yes; wileyDataAiGate=ready,paper/sections/submission-declarations.tex; reports/wiley-submission-form-readiness.md,paper/sections/submission-declarations.tex AI Use Disclosure; reports/wiley-submission-form-readiness.md data-and-ai-statements row,Confirm the disclosure matches the final journal form wording before submission.,"Sign only if AI, funding, conflict, and data statements match the final journal form answers."
