reformEventId,canonicalActorId,issueCode,comparisonGroup,matchingVariables,prePeriodStart,prePeriodEnd,postPeriodStart,postPeriodEnd,matchScore,exclusionReason,reviewStatus,notes
hloga-2007-federal-lobbying-disclosure,cand-f29de1091095,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; venues=intermediary; opaque_nonprofit_or_dark_money,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-826ecd9df274,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; venues=intermediary; opaque_nonprofit_or_dark_money,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-1f1ead9e4ee1,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; venues=intermediary; opaque_nonprofit_or_dark_money,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-8c1c5f5b17be,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; venues=intermediary; opaque_nonprofit_or_dark_money,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-9948f2974958,lda-bud,treated_hloga_lda_client,official LDA API exact normalized client-name match; visible-lobbying pre/post rows observed; comparison/control assignment remains unresolved,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.8000,,reviewed_treated_visible_lobbying_prepost,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; treated visible-lobbying assignment comes from official LDA API pre/post rows matched by exact normalized client name; matched comparison/control actors are still required before estimation"
hloga-2007-federal-lobbying-disclosure,cand-9948f2974958,lda-hcr,treated_hloga_lda_client,official LDA API exact normalized client-name match; visible-lobbying pre/post rows observed; comparison/control assignment remains unresolved,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.8000,,reviewed_treated_visible_lobbying_prepost,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; treated visible-lobbying assignment comes from official LDA API pre/post rows matched by exact normalized client name; matched comparison/control actors are still required before estimation"
hloga-2007-federal-lobbying-disclosure,cand-9948f2974958,lda-mmm,treated_hloga_lda_client,official LDA API exact normalized client-name match; visible-lobbying pre/post rows observed; comparison/control assignment remains unresolved,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.8000,,reviewed_treated_visible_lobbying_prepost,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; treated visible-lobbying assignment comes from official LDA API pre/post rows matched by exact normalized client name; matched comparison/control actors are still required before estimation"
hloga-2007-federal-lobbying-disclosure,cand-9948f2974958,lda-trd,treated_hloga_lda_client,official LDA API exact normalized client-name match; visible-lobbying pre/post rows observed; comparison/control assignment remains unresolved,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.8000,,reviewed_treated_visible_lobbying_prepost,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; treated visible-lobbying assignment comes from official LDA API pre/post rows matched by exact normalized client name; matched comparison/control actors are still required before estimation"
hloga-2007-federal-lobbying-disclosure,cand-9948f2974958,reviewed-technology,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; Official LDA API; venues=intermediary; opaque_nonprofit_or_dark_money; visible_lobbying,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-8dd6b3bb25e1,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; venues=intermediary; opaque_nonprofit_or_dark_money,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
